Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2023-03-30,1,1,25,1,5,0,9.0,1,1,0.0,153,1,46172,0.93,1
2023-04-01,2,1,25,0,5,7,9.0,0,2,1.0,192,1,41642,0.92,-1
2023-04-02,3,1,25,1,6,0,9.0,1,2,1.0,147,1,42053,0.89,1
2023-04-03,4,1,21,1,8,1,9.0,2,2,1.0,161,0,37202,0.91,2
2023-04-04,5,1,21,0,1,4,9.0,1,2,2.0,165,0,35392,0.92,-1
2023-04-05,6,1,21,1,4,2,9.0,2,2,2.0,150,1,35847,0.89,1
2023-04-07,7,0,3,0,6,7,9.0,1,3,3.0,184,1,45017,1.05,-1
2023-04-08,8,0,3,1,4,1,9.0,2,2,3.0,167,0,30561,1.02,1
2023-04-09,9,0,3,1,5,3,9.0,3,2,3.0,148,1,29221,1.05,2
2023-04-10,10,0,7,0,2,3,9.0,2,2,4.0,149,0,19278,1.01,-1
2023-04-11,11,0,7,1,11,2,9.0,3,2,4.0,144,0,20164,1.0,1
2023-04-12,12,0,7,1,4,3,9.0,4,2,4.0,164,1,23164,1.02,2
2023-04-13,13,1,17,0,2,11,9.0,3,2,5.0,140,0,39024,1.06,-1
2023-04-14,14,1,17,0,3,4,9.0,2,3,5.0,131,0,41039,1.03,-2
2023-04-15,15,1,17,1,6,1,9.0,3,3,4.0,147,1,38363,1.0,1
2023-04-16,16,1,17,1,2,0,9.0,4,2,4.0,127,1,39342,1.01,2
2023-04-18,17,1,13,0,2,5,9.0,3,3,4.5,165,0,37883,1.1,-1
2023-04-19,18,1,13,1,3,2,10.0,4,2,4.5,200,0,38131,0.95,1
2023-04-20,19,1,13,1,9,3,9.0,5,2,4.0,169,1,39315,1.01,2
2023-04-21,20,1,29,0,1,6,9.0,4,3,5.0,150,0,39025,1.14,-1
2023-04-22,21,1,29,1,3,2,9.0,5,3,5.0,155,1,43223,1.07,1
2023-04-23,22,1,29,0,1,5,9.0,4,3,6.0,143,1,39293,1.07,-1
2023-04-24,23,0,17,0,1,6,9.0,3,4,7.0,174,0,16242,0.99,-2
2023-04-25,24,0,17,0,2,6,9.0,2,4,7.0,136,0,19201,0.89,-3
2023-04-26,25,0,17,1,12,6,9.0,3,4,6.0,147,1,20511,0.9,1
2023-04-27,26,0,28,1,4,2,9.0,4,4,6.0,129,0,31325,0.97,2
2023-04-28,27,0,28,0,2,5,9.0,3,4,7.0,140,0,36341,0.96,-1
2023-04-29,28,0,28,0,0,2,9.0,2,4,8.0,126,0,40027,0.9,-2
2023-04-30,29,0,28,0,2,15,9.0,1,4,8.0,150,1,39078,0.85,-3
2023-05-01,30,1,7,0,2,3,9.0,0,5,8.5,126,0,33414,0.84,-4
2023-05-02,31,1,7,1,4,2,9.0,1,5,8.5,153,0,32521,0.78,1
2023-05-03,32,1,7,1,4,3,10.0,2,5,8.5,161,0,36060,0.81,2
2023-05-05,33,0,27,0,4,5,9.0,1,5,10.0,157,0,25007,0.87,-1
2023-05-06,34,0,27,1,3,2,9.0,2,5,9.0,164,1,27078,0.82,1
2023-05-07,35,0,27,0,7,8,10.0,1,5,10.0,196,1,32142,0.89,-1
2023-05-08,36,1,20,1,7,2,9.0,2,5,10.0,154,0,33011,0.71,1
2023-05-09,37,1,20,1,10,5,9.0,3,5,9.0,164,0,33569,0.77,2
