Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2022-04-08,1,1,4,1,6,5,11.0,1,1,0.0,236,1,46097.0,0.98,1
2022-04-09,2,1,4,1,4,2,9.0,2,1,0.0,178,1,46882.0,1.01,2
2022-04-10,3,1,4,0,3,4,9.0,1,2,1.0,220,0,40108.0,1.02,-1
2022-04-11,4,1,29,0,0,3,9.0,0,3,1.0,183,0,26211.0,1.04,-2
2022-04-12,5,1,29,1,4,0,9.0,1,2,1.0,187,0,25068.0,0.99,1
2022-04-13,6,1,29,0,4,6,9.0,0,3,1.0,190,0,30109.0,1.03,-1
2022-04-14,7,1,29,1,3,0,9.0,1,1,0.0,186,0,37255.0,1.02,1
2022-04-15,8,0,3,0,1,2,11.0,0,2,1.0,255,0,32197.0,1.0,-1
2022-04-16,9,0,3,1,5,2,9.0,1,1,0.0,206,0,28179.0,1.02,1
2022-04-17,10,0,3,0,0,5,9.0,0,3,1.0,196,1,25938.0,1.04,-1
2022-04-19,11,0,10,1,4,2,9.0,1,1,0.0,239,0,15498.0,0.98,1
2022-04-20,12,0,10,1,5,3,9.0,2,1,0.0,186,0,17268.0,0.99,2
2022-04-21,13,0,10,0,0,3,9.0,1,2,1.0,154,1,21529.0,1.03,-1
2022-04-22,14,1,7,1,4,1,9.0,2,2,1.0,178,0,41062.0,1.01,1
2022-04-23,15,1,7,1,5,4,9.0,3,2,1.0,170,1,39180.0,1.05,2
2022-04-24,16,1,7,1,10,2,9.0,4,1,0.0,163,1,39050.0,1.08,3
2022-04-26,17,1,3,1,12,8,9.0,5,2,0.5,199,0,28596.0,1.11,4
2022-04-27,18,1,3,1,5,2,9.0,6,1,-0.5,177,0,31122.0,1.18,5
2022-04-28,19,1,3,1,10,5,9.0,7,1,-0.5,231,1,29268.0,1.18,6
2022-04-29,20,0,12,1,12,2,8.0,8,1,-1.5,178,0,16460.0,1.18,7
2022-04-30,21,0,12,1,3,0,9.0,9,1,-1.5,188,0,23965.0,1.14,8
2022-05-01,22,0,12,1,6,4,9.0,10,1,-1.5,203,1,19706.0,1.18,9
2022-05-02,23,0,29,1,3,2,9.0,11,1,-2.5,174,0,18577.0,1.35,10
2022-05-03,24,0,29,1,9,1,9.0,12,1,-3.5,177,0,22491.0,1.36,11
2022-05-04,25,0,29,0,1,2,9.0,11,1,-2.5,164,0,29057.0,1.36,-1
2022-05-08,27,1,28,0,2,4,9.0,11,1,-2.0,187,1,40714.0,1.2,-1
2022-05-09,28,1,28,1,1,0,9.0,12,1,-3.0,161,1,34866.0,1.2,1
2022-05-10,29,1,29,1,6,5,9.0,13,1,-4.0,219,0,41522.0,1.3,2
2022-05-11,30,1,29,1,5,3,9.0,14,1,-4.0,170,1,42105.0,1.36,3
2022-05-12,31,0,9,1,15,7,9.0,15,1,-4.5,236,0,20050.0,1.2,4
2022-05-13,32,0,9,1,10,4,9.0,16,1,-4.5,201,0,28877.0,1.17,5
2022-05-14,33,0,9,0,2,3,9.0,15,1,-4.5,207,0,32830.0,1.13,-1
2022-05-15,34,0,9,1,5,1,9.0,16,1,-4.5,152,1,29500.0,1.19,1
2022-05-16,35,0,3,1,6,2,9.0,17,1,-5.5,179,0,12228.0,1.11,2
2022-05-17,36,0,3,1,5,4,9.0,18,1,-5.5,186,0,12635.0,1.05,3
2022-05-18,37,0,3,1,3,2,9.0,19,1,-5.5,154,0,13850.0,1.01,4
2022-05-19,38,0,3,0,6,9,9.0,18,1,-5.0,241,1,23819.0,0.99,-1
2022-05-21,39,1,9,1,7,5,9.0,19,1,-5.5,220,1,44001.0,1.02,1
2022-05-22,41,1,9,0,0,5,9.0,17,1,-5.0,171,0,36167.0,1.0,-2
2022-05-23,42,1,3,0,4,6,9.0,16,1,-4.5,170,0,32187.0,1.07,-3
2022-05-24,43,1,3,1,7,6,11.0,17,1,-4.5,216,0,32289.0,1.13,1
2022-05-25,44,1,3,1,2,0,9.0,18,1,-4.5,187,0,39154.0,1.09,2
2022-05-26,45,0,27,1,7,2,9.0,19,1,-5.5,169,0,14610.0,1.27,3
2022-05-27,46,0,27,1,2,0,9.0,20,1,-6.5,143,0,19018.0,1.2,4
2022-05-28,47,0,27,0,1,3,9.0,19,1,-5.5,167,1,25025.0,1.12,-1
2022-05-29,48,0,27,0,2,4,9.0,18,1,-4.5,155,1,25025.0,1.19,-2
2022-05-31,49,1,13,1,9,1,9.0,19,1,-5.5,174,0,31242.0,1.1,1
2022-06-02,51,1,13,1,2,1,9.0,21,1,-5.5,188,0,33476.0,1.0,3
2022-06-03,52,1,10,1,13,0,9.0,22,1,-6.0,159,0,42026.0,0.91,4
2022-06-04,53,1,10,1,3,0,9.0,23,1,-6.5,148,1,38106.0,0.87,5
2022-06-05,54,1,10,1,5,4,10.0,24,1,-7.5,204,1,38030.0,0.81,6
2022-06-07,55,0,17,1,10,4,9.0,25,1,-7.0,230,0,27643.0,0.86,7
2022-06-08,56,0,17,0,1,8,9.0,24,1,-7.0,180,0,22286.0,0.85,-1
2022-06-09,57,0,17,1,10,7,9.0,25,1,-7.0,212,0,26646.0,0.82,1
2022-06-10,58,1,5,1,2,1,13.0,26,1,-7.5,256,0,43446.0,0.8,2
2022-06-11,59,1,5,1,8,0,9.0,27,1,-8.5,168,0,38043.0,0.73,3
2022-06-12,60,1,5,1,18,4,9.0,28,1,-8.5,203,1,39114.0,0.65,4
2022-06-14,61,1,27,1,2,0,9.0,29,1,-9.0,183,0,35692.0,0.82,5
2022-06-15,62,1,27,1,4,3,9.0,30,1,-9.0,178,0,35104.0,0.74,6
2022-06-16,63,1,27,1,2,1,9.0,31,1,-10.0,158,0,39469.0,0.72,7
2022-06-17,64,0,29,1,12,3,9.0,32,1,-11.0,201,0,44688.0,0.7,8
2022-06-18,65,0,29,1,4,0,9.0,33,1,-12.0,185,1,45055.0,0.57,9
2022-06-19,66,0,29,0,9,10,9.0,32,1,-11.0,221,1,44395.0,0.48,-1
2022-06-20,67,0,27,1,4,2,9.0,33,1,-12.0,192,0,16504.0,0.5,1
2022-06-21,68,0,27,0,4,5,9.0,32,1,-12.0,162,0,20688.0,0.41,-1
2022-06-22,69,0,27,1,5,4,9.0,33,1,-12.0,215,0,12264.0,0.5,1
2022-06-23,70,1,11,1,7,6,9.0,34,1,-12.5,204,0,44071.0,0.43,2
2022-06-24,71,1,11,0,1,3,9.0,33,1,-11.5,185,0,47528.0,0.39,-1
2022-06-25,72,1,11,0,0,3,9.0,32,1,-11.0,194,1,45076.0,0.48,-2
2022-06-26,73,1,11,1,6,3,10.0,33,1,-11.0,225,1,44028.0,0.48,1
2022-06-27,74,1,20,1,9,5,9.0,34,1,-12.0,204,0,33168.0,0.43,2
2022-06-28,75,1,20,1,2,1,9.0,35,1,-12.5,183,0,38051.0,0.38,3
2022-06-29,76,1,20,1,5,3,9.0,36,1,-13.0,172,1,39647.0,0.35,4
2022-06-30,77,0,11,0,1,2,9.0,35,1,-12.5,174,0,40674.0,0.32,-1
2022-07-02,79,0,7,1,6,1,9.0,37,1,-14.0,189,0,29236.0,0.29,2
2022-07-03,80,0,7,0,0,2,9.0,36,1,-13.5,175,1,26113.0,0.26,-1
2022-07-05,81,0,22,0,2,5,9.0,35,1,-13.0,179,0,37733.0,0.29,-2
2022-07-06,82,0,22,1,16,0,9.0,36,1,-14.0,201,0,32414.0,0.28,1
2022-07-07,83,0,4,1,6,5,9.0,37,1,-14.5,176,0,36876.0,0.32,2
2022-07-08,84,0,4,1,12,5,9.0,38,1,-15.5,231,0,36841.0,0.27,3
2022-07-09,85,0,4,0,5,6,10.0,37,1,-15.0,218,0,36945.0,0.19,-1
2022-07-10,86,0,4,0,6,11,9.0,36,1,-14.0,212,0,37291.0,0.21,-2
2022-07-12,87,1,6,0,3,4,9.0,35,1,-14.0,201,0,40235.0,0.22,-3
2022-07-13,88,1,6,1,7,6,10.0,36,1,-14.0,236,0,36772.0,0.25,1
2022-07-14,89,1,6,0,6,7,10.0,35,1,-13.0,224,0,41311.0,0.21,-1
2022-07-15,90,1,4,0,4,5,11.0,34,1,-12.0,240,0,47573.0,0.26,-2
2022-07-16,91,1,4,1,14,1,9.0,35,1,-13.0,189,0,47997.0,0.33,1
2022-07-17,92,1,4,1,13,2,9.0,36,1,-13.0,212,1,47958.0,0.3,2
2022-07-21,94,0,11,0,5,7,9.0,34,1,-12.0,191,0,39342.0,0.28,-2
2022-07-22,95,0,3,1,7,6,9.0,35,1,-12.0,227,0,28468.0,0.31,1
2022-07-23,96,0,3,0,3,6,9.0,34,1,-12.0,215,0,36361.0,0.21,-1
2022-07-24,97,0,3,1,6,0,9.0,35,1,-12.5,200,1,25623.0,0.28,1
2022-07-26,98,0,18,0,3,6,9.0,34,1,-11.5,207,0,42364.0,0.24,-1
2022-07-27,99,0,18,0,2,3,9.0,33,1,-11.5,189,0,43693.0,0.27,-2
2022-07-28,100,1,12,1,1,0,9.0,34,1,-11.5,158,0,43836.0,0.29,1
2022-07-29,101,1,12,1,11,5,9.0,35,1,-12.5,192,0,42481.0,0.23,2
2022-07-30,102,1,12,1,8,2,9.0,36,1,-12.5,200,1,44081.0,0.21,3
2022-07-31,103,1,12,0,6,8,9.0,35,1,-11.5,240,1,45341.0,0.17,-1
2022-08-01,104,1,24,1,7,2,9.0,36,1,-12.0,178,0,36731.0,0.21,1
2022-08-02,105,1,24,0,6,8,9.0,35,1,-11.0,223,0,38735.0,0.2,-1
2022-08-03,106,1,24,0,3,7,9.0,34,1,-11.0,167,1,42169.0,0.23,-2
2022-08-05,107,0,26,0,3,4,9.0,33,1,-10.5,199,0,46940.0,0.24,-3
2022-08-06,108,0,26,0,0,1,9.0,32,1,-10.5,186,0,48581.0,0.27,-4
