Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2018-03-29,1,0,29,1,6,1,9.0,1,1,0.0,171,1,48115.0,1.05,1
2018-03-30,2,0,29,1,4,2,9.0,2,1,-0.5,169,0,33716.0,1.11,2
2018-03-31,3,0,29,0,3,5,9.0,1,1,0.0,157,1,37692.0,1.16,-1
2018-04-01,4,0,29,0,4,7,9.0,0,2,1.0,183,1,29091.0,1.17,-2
2018-04-03,5,1,27,1,11,4,9.0,1,3,1.5,209,1,46776.0,1.1,1
2018-04-04,6,1,27,1,7,2,9.0,2,2,1.0,164,1,40028.0,1.07,2
2018-04-05,7,1,3,0,2,5,9.0,1,2,2.0,195,0,33653.0,1.15,-1
2018-04-06,8,1,3,0,3,7,14.0,0,3,2.5,320,0,34244.0,1.12,-2
2018-04-07,9,1,3,1,8,3,9.0,1,2,2.5,183,1,34388.0,1.0,1
2018-04-08,10,1,3,0,7,8,12.0,0,3,3.5,288,1,37096.0,1.08,-1
2018-04-10,11,0,4,0,1,14,9.0,-1,3,4.5,191,0,32357.0,1.1,-2
2018-04-11,12,0,4,1,10,7,9.0,0,3,3.5,239,0,32400.0,1.05,1
2018-04-12,13,0,4,0,3,6,9.0,-1,3,4.5,181,0,36341.0,1.11,-1
2018-04-13,14,0,10,1,8,6,9.0,0,3,4.5,208,0,21363.0,0.88,1
2018-04-16,15,1,15,1,12,1,9.0,1,3,5.0,218,0,32525.0,0.88,2
2018-04-17,16,1,15,0,1,9,9.0,0,3,6.0,191,0,34005.0,0.96,-1
2018-04-19,17,1,29,1,4,3,9.0,1,3,6.5,180,0,36665.0,1.01,1
2018-04-20,18,1,29,0,5,8,9.0,0,3,7.5,202,0,39197.0,1.0,-1
2018-04-21,19,1,29,1,9,1,9.0,1,3,6.5,170,1,40986.0,0.95,1
2018-04-22,20,1,29,1,5,1,9.0,2,3,5.5,167,1,43628.0,1.04,2
2018-04-23,21,1,17,1,14,1,9.0,3,3,5.0,218,0,39249.0,0.95,3
2018-04-24,22,1,17,1,8,3,9.0,4,3,4.0,191,0,39025.0,1.0,4
2018-04-25,23,1,17,1,7,4,9.0,5,2,4.0,220,0,39243.0,1.05,5
2018-04-26,24,1,17,1,4,3,9.0,6,2,4.0,185,1,40758.0,1.08,6
2018-04-27,25,0,13,1,4,3,10.0,7,2,3.0,195,0,40416.0,1.11,7
2018-04-28,26,0,13,1,11,1,9.0,8,2,2.0,189,0,44649.0,1.18,8
2018-04-29,27,0,13,1,2,1,9.0,9,2,2.0,180,0,44593.0,1.22,9
2018-04-30,28,0,11,0,1,2,9.0,8,2,3.0,151,0,30061.0,1.22,-1
