Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2021-04-01,1,1,29,0,2,3,10.0,-1,5,1.0,224,1,10850.0,1.09,-1
2021-04-03,2,1,29,1,5,3,9.0,0,3,1.0,218,1,10107.0,0.97,1
2021-04-04,3,1,29,0,1,3,9.0,-1,4,2.0,161,1,10066.0,1.02,-1
2021-04-05,4,1,3,1,7,0,9.0,0,3,1.0,178,0,9008.0,1.04,1
2021-04-06,5,1,3,1,7,2,9.0,1,1,0.0,178,0,9404.0,1.03,2
2021-04-07,6,1,3,0,3,4,11.0,0,2,1.0,234,0,10254.0,1.1,-1
2021-04-09,7,0,27,0,5,10,9.0,-1,3,1.0,173,1,9021.0,1.07,-2
2021-04-10,8,0,27,0,0,4,9.0,-2,5,2.0,184,1,6270.0,0.99,-3
2021-04-11,9,0,27,1,8,4,10.0,-1,2,2.0,222,1,6965.0,0.95,1
2021-04-12,10,0,29,1,3,1,9.0,0,2,1.5,184,0,1576.0,1.05,2
2021-04-13,11,0,29,0,3,7,9.0,-1,2,2.5,184,0,1550.0,1.04,-1
2021-04-14,12,0,29,0,4,5,9.0,-2,4,4.0,174,1,1613.0,1.03,-2
2021-04-16,13,1,27,0,2,8,9.0,-3,5,4.0,202,0,10202.0,0.98,-3
2021-04-17,14,1,27,0,3,6,9.0,-4,5,5.0,208,1,10583.0,0.9,-4
2021-04-18,15,1,27,0,2,4,9.0,-5,5,4.5,176,1,10606.0,0.82,-5
2021-04-20,16,1,2,1,3,1,9.0,-4,5,5.0,186,0,10017.0,0.66,1
2021-04-21,17,1,2,0,1,4,9.0,-5,5,5.0,196,0,9634.0,0.69,-1
2021-04-22,18,0,7,1,6,3,9.0,-4,5,4.0,211,0,6380.0,0.68,1
2021-04-23,19,0,7,1,5,3,9.0,-3,4,4.0,197,0,8662.0,0.75,2
2021-04-24,20,0,7,1,2,1,9.0,-2,3,3.0,185,0,8817.0,0.85,3
2021-04-25,21,0,7,0,3,7,9.0,-3,4,4.0,187,1,8766.0,0.91,-1
2021-04-26,22,0,3,0,2,4,9.0,-4,5,4.5,161,0,6367.0,0.94,-2
2021-04-27,23,0,3,1,5,1,9.0,-3,4,4.5,173,0,6662.0,0.89,1
2021-04-28,24,0,3,1,7,0,9.0,-2,4,4.5,153,0,7338.0,0.88,2
2021-04-29,25,0,3,0,3,4,10.0,-3,4,4.5,210,1,7738.0,0.96,-1
2021-04-30,26,1,10,1,10,0,9.0,-2,4,4.5,183,0,9523.0,0.86,1
2021-05-01,27,1,10,1,6,4,9.0,-1,3,3.5,205,1,10015.0,0.84,2
2021-05-02,28,1,10,1,2,0,9.0,0,3,2.5,134,1,10021.0,0.92,3
2021-05-04,29,1,11,1,7,3,9.0,1,2,2.5,207,0,10850.0,1.02,4
2021-05-05,30,1,11,1,6,3,9.0,2,2,1.5,215,0,9895.0,1.04,5
2021-05-06,31,1,11,0,4,7,9.0,1,4,2.5,194,1,10042.0,1.1,-1
2021-05-07,32,1,30,0,4,11,9.0,0,4,3.5,181,0,10010.0,0.97,-2
2021-05-08,33,1,30,1,4,3,11.0,1,3,3.5,230,1,10850.0,0.89,1
2021-05-09,34,1,30,1,3,2,9.0,2,2,3.5,184,1,10092.0,0.94,2
2021-05-11,35,0,27,1,3,1,9.0,3,2,2.0,170,0,5441.0,1.19,3
2021-05-12,36,0,27,1,1,0,9.0,4,2,1.0,156,0,5668.0,1.27,4
2021-05-13,37,0,27,0,1,9,9.0,3,3,2.0,185,0,6229.0,1.29,-1
2021-05-14,38,0,3,1,5,4,9.0,4,2,2.0,175,0,10809.0,1.15,1
2021-05-15,39,0,3,1,8,2,9.0,5,2,2.0,183,0,10767.0,1.18,2
