Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2020-07-23,1,0,30,1,4,1,6.0,1,1,-0.5,103,0,0.0,1.07,1
2020-07-25,2,0,30,0,2,9,9.0,0,1,0.0,193,0,0.0,1.06,-1
2020-07-26,3,0,30,1,3,2,9.0,1,1,0.0,187,1,0.0,1.09,1
2020-07-29,4,0,3,1,9,3,9.0,2,1,0.0,192,0,0.0,1.19,2
2020-07-30,5,0,3,1,8,6,9.0,3,1,-1.0,186,0,0.0,1.2,3
2020-07-31,6,1,4,1,5,1,9.0,4,1,-2.0,188,0,0.0,1.16,4
2020-08-01,7,1,4,1,5,2,9.0,5,1,-2.0,187,0,0.0,1.1,5
2020-08-02,8,1,4,1,9,7,9.0,6,1,-2.0,192,0,0.0,1.03,6
2020-08-03,9,1,21,1,6,3,9.0,7,1,-2.5,180,0,0.0,0.86,7
2020-08-05,11,0,21,1,3,1,7.0,7,1,-4.0,158,1,0.0,0.87,1
2020-08-06,12,0,21,0,4,5,9.0,6,1,-4.0,202,0,0.0,0.74,-1
2020-08-07,13,0,27,0,0,1,9.0,5,1,-3.0,172,0,0.0,0.93,-2
2020-08-08,15,0,27,0,3,5,7.0,5,1,-2.5,167,1,0.0,0.9,-1
2020-08-09,16,0,27,0,3,4,9.0,4,1,-1.5,188,1,0.0,1.03,-2
2020-08-11,17,1,2,1,9,6,9.0,5,1,-1.5,198,0,0.0,1.03,1
2020-08-12,18,1,2,1,6,3,9.0,6,1,-1.5,220,0,0.0,0.97,2
2020-08-14,19,1,4,1,10,3,9.0,7,1,-2.0,215,0,0.0,0.97,3
2020-08-15,20,1,4,1,11,5,9.0,8,1,-2.0,185,0,0.0,0.89,4
2020-08-16,21,1,4,1,4,2,9.0,9,1,-2.0,186,0,0.0,0.79,5
2020-08-17,22,1,4,1,6,3,9.0,10,1,-2.5,166,0,0.0,0.66,6
2020-08-18,23,1,27,0,3,6,9.0,9,1,-1.5,195,0,0.0,0.66,-1
2020-08-19,24,1,27,0,2,4,9.0,8,1,-0.5,192,0,0.0,0.76,-2
2020-08-20,25,1,27,0,5,10,9.0,7,2,0.5,205,1,0.0,0.84,-3
2020-08-26,27,0,2,0,1,2,7.0,5,2,2.5,118,0,0.0,0.93,-5
2020-08-28,29,1,18,0,3,4,7.0,3,2,4.0,143,0,0.0,1.12,-7
2020-08-29,30,1,18,1,2,1,9.0,4,2,4.0,180,1,0.0,1.18,1
2020-08-30,32,1,18,1,5,2,8.0,6,2,3.5,165,0,0.0,1.08,3
2020-08-31,33,1,27,0,3,5,9.0,5,2,4.5,201,0,0.0,1.1,-1
2020-09-01,34,1,27,1,5,3,9.0,6,2,3.5,159,0,0.0,1.18,1
2020-09-02,35,1,27,0,2,5,9.0,5,2,4.5,225,0,0.0,1.15,-1
2020-09-03,36,0,18,0,7,9,10.0,4,2,5.0,240,1,0.0,1.1,-2
2020-09-04,38,0,3,0,3,6,7.0,4,2,5.5,151,0,0.0,1.24,-1
2020-09-05,39,0,3,0,1,6,9.0,3,2,5.5,167,0,0.0,1.37,-2
2020-09-06,40,0,3,0,1,5,9.0,2,3,6.5,182,1,0.0,1.52,-3
2020-09-07,41,0,29,0,7,12,9.0,1,3,6.5,242,0,0.0,1.55,-4
2020-09-08,42,0,29,0,1,2,9.0,0,3,6.5,180,0,0.0,1.52,-5
2020-09-09,43,0,29,1,7,2,9.0,1,3,6.0,184,0,0.0,1.54,1
2020-09-11,45,1,3,1,10,1,7.0,3,3,5.0,160,0,0.0,1.76,3
2020-09-12,46,1,3,1,2,1,10.0,4,3,5.0,191,1,0.0,1.45,4
2020-09-13,47,1,3,1,3,1,9.0,5,3,4.0,164,1,0.0,1.09,5
2020-09-15,48,1,29,1,20,6,9.0,6,2,4.0,192,0,0.0,0.81,6
2020-09-16,49,1,29,1,13,2,9.0,7,2,3.0,182,0,0.0,0.62,7
2020-09-17,50,1,29,1,10,7,9.0,8,2,3.5,199,0,0.0,0.58,8
2020-09-18,51,0,4,1,6,5,12.0,9,2,3.5,295,0,0.0,0.53,9
2020-09-19,52,0,4,1,8,0,9.0,10,2,3.5,179,0,0.0,0.52,10
2020-09-20,53,0,4,0,2,10,9.0,9,2,3.5,202,1,0.0,0.55,-1
2020-09-21,54,0,29,0,5,11,9.0,8,2,4.5,236,0,0.0,0.51,-2
2020-09-22,55,0,29,1,12,1,9.0,9,2,3.5,209,0,0.0,0.45,1
2020-09-23,56,0,29,0,1,14,9.0,8,2,4.5,219,0,0.0,0.55,-1
2020-09-24,57,0,29,0,1,4,9.0,7,2,5.0,191,0,0.0,0.32,-2
2020-09-25,58,1,15,0,3,4,10.0,6,2,6.0,200,0,0.0,0.25,-3
2020-09-26,59,1,15,1,11,4,9.0,7,2,6.0,200,1,0.0,0.18,1
2020-09-27,60,1,15,0,0,5,9.0,6,2,7.0,185,1,0.0,0.11,-1
