Date,Gm#,Home,Opp,Win,R,RA,Inn,W-L,Rank,GB,Time,Day Game,Attendance,cLI,Streak
2017-04-02,1,0,27,0,3,7,9.0,-1,5,1.0,201,1,31042.0,1.08,-1
2017-04-04,2,0,27,1,5,0,9.0,0,3,0.5,187,0,19366.0,1.05,1
2017-04-05,3,0,27,0,1,4,9.0,-1,4,1.5,197,0,12737.0,1.07,-1
2017-04-07,4,0,3,0,5,6,9.0,-2,4,2.5,200,0,25248.0,1.04,-2
2017-04-08,5,0,3,0,4,5,9.0,-3,4,3.5,215,1,38916.0,1.0,-3
2017-04-09,6,0,3,1,7,3,9.0,-2,4,2.5,202,1,42487.0,0.94,1
2017-04-10,7,1,27,1,8,1,9.0,-1,4,2.0,157,1,46955.0,0.97,2
2017-04-12,8,1,27,1,8,4,9.0,0,3,1.5,213,1,38002.0,1.04,3
2017-04-13,9,1,27,1,3,2,9.0,1,2,1.5,179,0,34772.0,1.13,4
2017-04-14,10,1,26,1,4,3,9.0,2,2,1.5,174,0,39102.0,0.99,5
2017-04-15,11,1,26,1,3,2,9.0,3,2,0.5,185,1,43031.0,1.02,6
2017-04-16,12,1,26,1,9,3,9.0,4,2,0.5,197,0,31706.0,1.06,7
2017-04-17,13,1,9,1,7,4,9.0,5,1,0.0,169,0,28181.0,1.13,8
2017-04-18,14,1,9,0,1,4,9.0,4,1,0.0,136,0,30075.0,1.13,-1
2017-04-19,15,1,9,1,9,1,9.0,5,1,0.0,160,0,30014.0,1.11,1
2017-04-21,16,0,22,0,3,6,9.0,4,2,1.5,199,0,30565.0,1.11,-1
2017-04-22,17,0,22,1,11,5,9.0,5,2,1.5,197,1,36140.0,1.08,1
2017-04-23,18,0,22,0,1,2,9.0,4,2,1.5,159,1,27840.0,1.07,-1
2017-04-26,19,0,4,1,3,1,9.0,5,2,1.5,196,0,32072.0,1.27,1
2017-04-27,20,0,4,1,3,0,9.0,6,2,1.0,141,0,34054.0,1.32,2
2017-04-28,21,1,3,1,14,11,10.0,7,1,0.0,221,0,36912.0,1.46,3
2017-04-29,22,1,3,1,12,4,9.0,8,1,-1.0,192,1,37303.0,1.48,4
2017-04-30,23,1,3,0,4,7,11.0,7,1,0.0,277,1,41022.0,1.47,-1
2017-05-01,24,1,29,0,1,7,9.0,6,2,1.0,178,0,25566.0,1.24,-2
2017-05-02,25,1,29,1,11,5,9.0,7,1,0.0,211,0,30058.0,1.23,1
2017-05-03,26,1,29,1,8,6,9.0,8,1,-1.0,219,0,35559.0,1.25,2
2017-05-05,27,0,5,1,3,2,9.0,9,1,-0.5,197,1,40395.0,1.19,3
2017-05-06,28,0,5,1,11,6,9.0,10,1,-0.5,199,0,40735.0,1.21,4
2017-05-07,29,0,5,1,5,4,18.0,11,1,-0.5,365,0,40584.0,1.21,5
2017-05-08,30,0,6,1,10,4,9.0,12,1,-0.5,208,0,25960.0,1.2,6
2017-05-09,31,0,6,0,3,5,9.0,11,2,0.5,169,0,22035.0,1.21,-1
2017-05-11,32,1,11,0,2,3,9.0,10,2,0.5,189,0,39050.0,1.29,-2
2017-05-12,33,1,11,0,1,5,9.0,9,2,0.5,189,0,41150.0,1.27,-3
2017-05-14,35,1,11,0,7,10,9.0,9,1,-0.5,229,0,47883.0,1.29,-1
2017-05-16,36,0,12,1,7,1,9.0,10,1,-0.5,182,0,30878.0,1.27,1
2017-05-17,37,0,12,1,11,7,9.0,11,1,-1.5,203,0,22899.0,1.3,2
2017-05-18,38,0,12,0,1,5,9.0,10,1,-1.5,154,0,22803.0,1.29,-1
2017-05-19,39,0,27,0,4,5,9.0,9,1,-0.5,198,0,21146.0,1.45,-2
2017-05-20,40,0,27,0,5,9,9.0,8,2,0.5,230,1,22864.0,1.46,-3
2017-05-21,41,0,27,1,3,2,9.0,9,1,-0.5,206,1,20873.0,1.44,1
2017-05-22,42,1,12,1,4,2,9.0,10,1,-1.5,162,0,35005.0,1.3,2
2017-05-23,43,1,12,0,2,6,9.0,9,1,-1.5,167,0,35931.0,1.31,-1
2017-05-24,44,1,12,1,3,0,9.0,10,1,-2.5,160,0,34610.0,1.29,1
2017-05-26,45,1,20,0,1,4,9.0,9,1,-2.0,189,0,39044.0,1.34,-1
2017-05-27,46,1,20,1,3,2,9.0,10,1,-2.0,194,1,40218.0,1.32,1
2017-05-28,47,1,20,1,9,5,9.0,11,1,-3.0,189,1,45232.0,1.34,2
2017-05-29,48,0,3,0,2,3,9.0,10,1,-3.0,174,1,40242.0,1.54,-1
2017-05-30,49,0,3,1,8,3,9.0,11,1,-3.0,199,0,16126.0,1.6,1
2017-05-31,50,0,3,0,4,10,9.0,10,1,-2.0,198,0,22983.0,1.56,-1
2017-06-01,51,0,29,1,12,2,9.0,11,1,-3.0,190,0,37722.0,1.47,1
